human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveSouth;(3, 5);1;1
;(3, 5);1;2
;(3, 5);1;3
;(3, 5);1;4
;(3, 5);1;5
;(3, 5);1;6
;(3, 5);1;7
;(3, 5);1;8
;(3, 5);1;9
;(3, 5);1;10
MoveEast;(4, 5);1;11
MoveNorth;(4, 4);1;12
;(4, 4);1;13
;(4, 4);1;14
;(4, 4);1;15
;(4, 4);1;16
;(4, 4);1;17
;(4, 4);1;18
;(4, 4);1;19
;(4, 4);1;20
;(4, 4);1;21
MoveSouth;(4, 5);1;22
;(4, 5);1;23
;(4, 5);1;24
;(4, 5);1;25
;(4, 5);1;26
;(4, 5);1;27
;(4, 5);1;28
;(4, 5);1;29
;(4, 5);1;30
MoveEast;(5, 5);1;31
;(5, 5);1;32
;(5, 5);1;33
;(5, 5);1;34
MoveNorth;(5, 4);1;35
;(5, 4);1;36
;(5, 4);1;37
;(5, 4);1;38
;(5, 4);1;39
;(5, 4);1;40
;(5, 4);1;41
;(5, 4);1;42
MoveEast;(6, 4);1;43
;(6, 4);1;44
;(6, 4);1;45
;(6, 4);1;46
;(6, 4);1;47
;(6, 4);1;48
;(6, 4);1;49
MoveEast;(7, 4);1;50
;(7, 4);1;51
;(7, 4);1;52
;(7, 4);1;53
;(7, 4);1;54
;(7, 4);1;55
;(7, 4);1;56
MoveSouth;(7, 5);1;57
;(7, 5);1;58
;(7, 5);1;59
;(7, 5);1;60
;(7, 5);1;61
;(7, 5);1;62
;(7, 5);1;63
MoveSouth;(7, 6);1;64
;(7, 6);1;65
;(7, 6);1;66
;(7, 6);1;67
;(7, 6);1;68
;(7, 6);1;69
;(7, 6);1;70
;(7, 6);1;71
MoveEast;(8, 6);1;72
;(8, 6);1;73
;(8, 6);1;74
;(8, 6);1;75
;(8, 6);1;76
;(8, 6);1;77
;(8, 6);1;78
;(8, 6);1;79
;(8, 6);1;80
;(8, 6);1;81
;(8, 6);1;82
;(8, 6);1;83
;(8, 6);1;84
;(8, 6);1;85
;(8, 6);1;86
;(8, 6);1;87
;(8, 6);1;88
;(8, 6);1;89
;(8, 6);1;90
;(8, 6);1;91
;(8, 6);1;92
;(8, 6);1;93
;(8, 6);1;94
GrabObject;(8, 6);1;95
;(8, 6);1;96
;(8, 6);1;97
;(8, 6);1;98
;(8, 6);1;99
;(8, 6);1;100
;(8, 6);1;101
;(8, 6);1;102
;(8, 6);1;103
;(8, 6);1;104
;(8, 6);1;105
;(8, 6);1;106
;(8, 6);1;107
;(8, 6);1;108
;(8, 6);1;109
;(8, 6);1;110
;(8, 6);1;111
MoveWest;(7, 6);1;112
;(7, 6);1;113
;(7, 6);1;114
;(7, 6);1;115
;(7, 6);1;116
MoveWest;(6, 6);1;117
;(6, 6);1;118
;(6, 6);1;119
;(6, 6);1;120
MoveWest;(5, 6);1;121
;(5, 6);1;122
;(5, 6);1;123
;(5, 6);1;124
;(5, 6);1;125
MoveWest;(4, 6);1;126
;(4, 6);1;127
;(4, 6);1;128
;(4, 6);1;129
MoveWest;(3, 6);1;130
;(3, 6);1;131
;(3, 6);1;132
;(3, 6);1;133
