human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveNorth;(3, 3);1;1
;(3, 3);1;2
;(3, 3);1;3
;(3, 3);1;4
;(3, 3);1;5
;(3, 3);1;6
;(3, 3);1;7
;(3, 3);1;8
;(3, 3);1;9
;(3, 3);1;10
;(3, 3);1;11
;(3, 3);1;12
;(3, 3);1;13
;(3, 3);1;14
;(3, 3);1;15
;(3, 3);1;16
;(3, 3);1;17
;(3, 3);1;18
;(3, 3);1;19
;(3, 3);1;20
;(3, 3);1;21
;(3, 3);1;22
;(3, 3);1;23
;(3, 3);1;24
;(3, 3);1;25
;(3, 3);1;26
;(3, 3);1;27
;(3, 3);1;28
;(3, 3);1;29
;(3, 3);1;30
;(3, 3);1;31
;(3, 3);1;32
MoveSouth;(3, 4);1;33
;(3, 4);1;34
;(3, 4);1;35
;(3, 4);1;36
;(3, 4);1;37
;(3, 4);1;38
;(3, 4);1;39
;(3, 4);1;40
;(3, 4);1;41
;(3, 4);1;42
;(3, 4);1;43
;(3, 4);1;44
;(3, 4);1;45
;(3, 4);1;46
;(3, 4);1;47
;(3, 4);1;48
;(3, 4);1;49
;(3, 4);1;50
;(3, 4);1;51
;(3, 4);1;52
;(3, 4);1;53
;(3, 4);1;54
;(3, 4);1;55
;(3, 4);1;56
;(3, 4);1;57
;(3, 4);1;58
;(3, 4);1;59
MoveSouth;(3, 5);1;60
;(3, 5);1;61
;(3, 5);1;62
;(3, 5);1;63
;(3, 5);1;64
MoveNorth;(3, 4);1;65
;(3, 4);1;66
;(3, 4);1;67
;(3, 4);1;68
;(3, 4);1;69
;(3, 4);1;70
;(3, 4);1;71
;(3, 4);1;72
MoveNorth;(3, 3);1;73
;(3, 3);1;74
;(3, 3);1;75
;(3, 3);1;76
;(3, 3);1;77
MoveSouth;(3, 4);1;78
;(3, 4);1;79
;(3, 4);1;80
;(3, 4);1;81
;(3, 4);1;82
;(3, 4);1;83
MoveSouth;(3, 5);1;84
;(3, 5);1;85
;(3, 5);1;86
;(3, 5);1;87
;(3, 5);1;88
MoveSouth;(3, 6);1;89
;(3, 6);1;90
;(3, 6);1;91
;(3, 6);1;92
MoveSouth;(3, 7);1;93
;(3, 7);1;94
;(3, 7);1;95
;(3, 7);1;96
;(3, 7);1;97
MoveSouth;(3, 8);1;98
;(3, 8);1;99
;(3, 8);1;100
;(3, 8);1;101
;(3, 8);1;102
;(3, 8);1;103
;(3, 8);1;104
;(3, 8);1;105
;(3, 8);1;106
MoveEast;(4, 8);1;107
;(4, 8);1;108
;(4, 8);1;109
;(4, 8);1;110
;(4, 8);1;111
;(4, 8);1;112
;(4, 8);1;113
;(4, 8);1;114
;(4, 8);1;115
MoveEast;(5, 8);1;116
MoveEast;(6, 8);1;117
MoveEast;(7, 8);1;118
;(7, 8);1;119
;(7, 8);1;120
;(7, 8);1;121
;(7, 8);1;122
;(7, 8);1;123
;(7, 8);1;124
MoveEast;(8, 8);1;125
;(8, 8);1;126
MoveEast;(9, 8);1;127
MoveEast;(10, 8);1;128
;(10, 8);1;129
MoveEast;(11, 8);1;130
;(11, 8);1;131
MoveEast;(12, 8);1;132
;(12, 8);1;133
;(12, 8);1;134
;(12, 8);1;135
;(12, 8);1;136
MoveEast;(13, 8);1;137
;(13, 8);1;138
MoveEast;(14, 8);1;139
;(14, 8);1;140
MoveEast;(15, 8);1;141
;(15, 8);1;142
MoveEast;(16, 8);1;143
;(16, 8);1;144
;(16, 8);1;145
;(16, 8);1;146
;(16, 8);1;147
MoveEast;(17, 8);1;148
;(17, 8);1;149
MoveEast;(18, 8);1;150
MoveEast;(19, 8);1;151
;(19, 8);1;152
MoveEast;(19, 8);1;153
;(19, 8);1;154
MoveEast;(19, 8);1;155
;(19, 8);1;156
;(19, 8);1;157
;(19, 8);1;158
;(19, 8);1;159
MoveEast;(19, 8);1;160
MoveEast;(19, 8);1;161
MoveEast;(19, 8);1;162
;(19, 8);1;163
MoveEast;(19, 8);1;164
;(19, 8);1;165
MoveEast;(19, 8);1;166
;(19, 8);1;167
;(19, 8);1;168
;(19, 8);1;169
;(19, 8);1;170
MoveEast;(19, 8);1;171
;(19, 8);1;172
MoveEast;(19, 8);1;173
;(19, 8);1;174
MoveEast;(19, 8);1;175
;(19, 8);1;176
;(19, 8);1;177
MoveEast;(19, 8);1;178
;(19, 8);1;179
;(19, 8);1;180
;(19, 8);1;181
;(19, 8);1;182
MoveEast;(19, 8);1;183
MoveEast;(19, 8);1;184
MoveEast;(19, 8);1;185
;(19, 8);1;186
MoveEast;(19, 8);1;187
;(19, 8);1;188
MoveEast;(19, 8);1;189
MoveEast;(19, 8);1;190
;(19, 8);1;191
;(19, 8);1;192
;(19, 8);1;193
MoveEast;(19, 8);1;194
MoveEast;(19, 8);1;195
MoveEast;(19, 8);1;196
;(19, 8);1;197
MoveEast;(19, 8);1;198
;(19, 8);1;199
MoveEast;(19, 8);1;200
MoveEast;(19, 8);1;201
;(19, 8);1;202
;(19, 8);1;203
;(19, 8);1;204
;(19, 8);1;205
MoveEast;(19, 8);1;206
MoveEast;(19, 8);1;207
;(19, 8);1;208
;(19, 8);1;209
;(19, 8);1;210
;(19, 8);1;211
;(19, 8);1;212
;(19, 8);1;213
;(19, 8);1;214
;(19, 8);1;215
;(19, 8);1;216
;(19, 8);1;217
;(19, 8);1;218
;(19, 8);1;219
;(19, 8);1;220
;(19, 8);1;221
;(19, 8);1;222
;(19, 8);1;223
;(19, 8);1;224
;(19, 8);1;225
;(19, 8);1;226
;(19, 8);1;227
MoveWest;(18, 8);1;228
MoveWest;(17, 8);1;229
