human_selector_action;human_selector_location;robot_action;robot_location;robot_executing_cp;world_nr;tick_nr
;(3, 4);;(4, 4);False;1;0
MoveEast;(4, 4);;(4, 4);False;1;1
;(4, 4);MoveEast;(4, 4);False;1;2
;(4, 4);MoveEast;(4, 4);False;1;3
;(4, 4);MoveEast;(4, 4);False;1;4
;(4, 4);MoveEast;(4, 4);False;1;5
;(4, 4);MoveEast;(4, 4);False;1;6
;(4, 4);MoveEast;(4, 4);False;1;7
;(4, 4);MoveEast;(4, 4);False;1;8
;(4, 4);MoveEast;(4, 4);False;1;9
;(4, 4);MoveEast;(4, 4);False;1;10
;(4, 4);MoveEast;(4, 4);False;1;11
;(4, 4);MoveEast;(5, 4);False;1;12
;(4, 4);MoveEast;(5, 4);False;1;13
;(4, 4);MoveEast;(5, 4);False;1;14
;(4, 4);MoveEast;(5, 4);False;1;15
;(4, 4);MoveEast;(5, 4);False;1;16
;(4, 4);MoveEast;(5, 4);False;1;17
;(4, 4);MoveEast;(5, 4);False;1;18
;(4, 4);MoveEast;(5, 4);False;1;19
;(4, 4);MoveEast;(5, 4);False;1;20
;(4, 4);MoveEast;(5, 4);False;1;21
;(4, 4);MoveEast;(5, 4);False;1;22
;(4, 4);MoveEast;(6, 4);False;1;23
;(4, 4);MoveNorthEast;(6, 4);False;1;24
;(4, 4);MoveNorthEast;(6, 4);False;1;25
MoveNorth;(4, 3);MoveNorthEast;(6, 4);False;1;26
;(4, 3);MoveNorthEast;(6, 4);False;1;27
;(4, 3);MoveNorthEast;(6, 4);False;1;28
;(4, 3);MoveNorthEast;(6, 4);False;1;29
;(4, 3);MoveNorthEast;(6, 4);False;1;30
;(4, 3);MoveNorthEast;(6, 4);False;1;31
;(4, 3);MoveNorthEast;(6, 4);False;1;32
;(4, 3);MoveNorthEast;(6, 4);False;1;33
;(4, 3);MoveNorthEast;(7, 3);False;1;34
;(4, 3);MoveEast;(7, 3);False;1;35
;(4, 3);MoveEast;(7, 3);False;1;36
MoveNorth;(4, 2);MoveEast;(7, 3);False;1;37
;(4, 2);MoveEast;(7, 3);False;1;38
;(4, 2);MoveEast;(7, 3);False;1;39
;(4, 2);MoveEast;(7, 3);False;1;40
;(4, 2);MoveEast;(7, 3);False;1;41
;(4, 2);MoveEast;(7, 3);False;1;42
;(4, 2);MoveEast;(7, 3);False;1;43
;(4, 2);MoveEast;(7, 3);False;1;44
;(4, 2);MoveEast;(8, 3);False;1;45
MoveEast;(5, 2);GrabObject;(8, 3);False;1;46
;(5, 2);GrabObject;(8, 3);False;1;47
;(5, 2);GrabObject;(8, 3);False;1;48
;(5, 2);GrabObject;(8, 3);False;1;49
;(5, 2);GrabObject;(8, 3);False;1;50
;(5, 2);GrabObject;(8, 3);False;1;51
;(5, 2);GrabObject;(8, 3);False;1;52
;(5, 2);GrabObject;(8, 3);False;1;53
MoveEast;(6, 2);GrabObject;(8, 3);False;1;54
;(6, 2);GrabObject;(8, 3);False;1;55
;(6, 2);GrabObject;(8, 3);False;1;56
;(6, 2);;(8, 3);False;1;57
;(6, 2);MoveEast;(8, 3);False;1;58
;(6, 2);MoveEast;(8, 3);False;1;59
;(6, 2);MoveEast;(8, 3);False;1;60
;(6, 2);MoveEast;(8, 3);False;1;61
;(6, 2);MoveEast;(8, 3);False;1;62
MoveEast;(7, 2);MoveEast;(8, 3);False;1;63
;(7, 2);MoveEast;(8, 3);False;1;64
;(7, 2);MoveEast;(8, 3);False;1;65
;(7, 2);MoveEast;(8, 3);False;1;66
;(7, 2);MoveEast;(8, 3);False;1;67
MoveEast;(8, 2);MoveEast;(9, 3);False;1;68
;(8, 2);MoveEast;(9, 3);False;1;69
;(8, 2);MoveEast;(9, 3);False;1;70
;(8, 2);MoveEast;(9, 3);False;1;71
;(8, 2);MoveEast;(9, 3);False;1;72
;(8, 2);MoveEast;(9, 3);False;1;73
MoveEast;(9, 2);MoveEast;(9, 3);False;1;74
;(9, 2);MoveEast;(9, 3);False;1;75
;(9, 2);MoveEast;(9, 3);False;1;76
;(9, 2);MoveEast;(9, 3);False;1;77
;(9, 2);MoveEast;(9, 3);False;1;78
;(9, 2);MoveEast;(10, 3);False;1;79
;(9, 2);MoveWest;(10, 3);False;1;80
;(9, 2);MoveWest;(10, 3);False;1;81
;(9, 2);MoveWest;(10, 3);False;1;82
;(9, 2);MoveWest;(10, 3);False;1;83
;(9, 2);MoveWest;(10, 3);False;1;84
;(9, 2);MoveWest;(10, 3);False;1;85
;(9, 2);MoveWest;(10, 3);False;1;86
;(9, 2);MoveWest;(10, 3);False;1;87
MoveEast;(10, 2);MoveWest;(10, 3);False;1;88
;(10, 2);MoveWest;(10, 3);False;1;89
;(10, 2);MoveWest;(9, 3);False;1;90
;(10, 2);MoveWest;(9, 3);False;1;91
;(10, 2);MoveWest;(9, 3);False;1;92
;(10, 2);MoveWest;(9, 3);False;1;93
;(10, 2);MoveWest;(9, 3);False;1;94
;(10, 2);MoveWest;(9, 3);False;1;95
;(10, 2);MoveWest;(9, 3);False;1;96
;(10, 2);MoveWest;(9, 3);False;1;97
;(10, 2);MoveWest;(9, 3);False;1;98
MoveSouth;(10, 3);MoveWest;(9, 3);False;1;99
;(10, 3);MoveWest;(9, 3);False;1;100
;(10, 3);MoveWest;(8, 3);False;1;101
;(10, 3);MoveEast;(8, 3);False;1;102
;(10, 3);MoveEast;(8, 3);False;1;103
;(10, 3);MoveEast;(8, 3);False;1;104
;(10, 3);MoveEast;(8, 3);False;1;105
;(10, 3);MoveEast;(8, 3);False;1;106
MoveSouth;(10, 4);MoveEast;(8, 3);False;1;107
;(10, 4);MoveEast;(8, 3);False;1;108
;(10, 4);MoveEast;(8, 3);False;1;109
;(10, 4);MoveEast;(8, 3);False;1;110
;(10, 4);MoveEast;(8, 3);False;1;111
;(10, 4);MoveEast;(9, 3);False;1;112
;(10, 4);MoveEast;(9, 3);False;1;113
;(10, 4);MoveEast;(9, 3);False;1;114
;(10, 4);MoveEast;(9, 3);False;1;115
;(10, 4);MoveEast;(9, 3);False;1;116
;(10, 4);MoveEast;(9, 3);False;1;117
;(10, 4);MoveEast;(9, 3);False;1;118
;(10, 4);MoveEast;(9, 3);False;1;119
;(10, 4);MoveEast;(9, 3);False;1;120
;(10, 4);MoveEast;(9, 3);False;1;121
;(10, 4);MoveEast;(9, 3);False;1;122
GrabObject;(10, 4);MoveEast;(10, 3);False;1;123
;(10, 4);MoveWest;(10, 3);False;1;124
;(10, 4);MoveWest;(10, 3);False;1;125
;(10, 4);MoveWest;(10, 3);False;1;126
;(10, 4);MoveWest;(10, 3);False;1;127
;(10, 4);MoveWest;(10, 3);False;1;128
;(10, 4);MoveWest;(10, 3);False;1;129
MoveEast;(11, 4);MoveWest;(10, 3);False;1;130
;(11, 4);MoveWest;(10, 3);False;1;131
;(11, 4);MoveWest;(10, 3);False;1;132
;(11, 4);MoveWest;(10, 3);False;1;133
;(11, 4);MoveWest;(9, 3);False;1;134
;(11, 4);MoveWest;(9, 3);False;1;135
MoveEast;(12, 4);MoveWest;(9, 3);False;1;136
;(12, 4);MoveWest;(9, 3);False;1;137
;(12, 4);MoveWest;(9, 3);False;1;138
;(12, 4);MoveWest;(9, 3);False;1;139
MoveEast;(13, 4);MoveWest;(9, 3);False;1;140
;(13, 4);MoveWest;(9, 3);False;1;141
;(13, 4);MoveWest;(9, 3);False;1;142
MoveEast;(14, 4);MoveWest;(9, 3);False;1;143
;(14, 4);MoveWest;(9, 3);False;1;144
;(14, 4);MoveWest;(8, 3);False;1;145
;(14, 4);MoveEast;(8, 3);False;1;146
MoveEast;(15, 4);MoveEast;(8, 3);False;1;147
;(15, 4);MoveEast;(8, 3);False;1;148
;(15, 4);MoveEast;(8, 3);False;1;149
;(15, 4);MoveEast;(8, 3);False;1;150
;(15, 4);MoveEast;(8, 3);False;1;151
;(15, 4);MoveEast;(8, 3);False;1;152
;(15, 4);MoveEast;(8, 3);False;1;153
;(15, 4);MoveEast;(8, 3);False;1;154
;(15, 4);MoveEast;(8, 3);False;1;155
;(15, 4);MoveEast;(9, 3);False;1;156
;(15, 4);MoveEast;(9, 3);False;1;157
;(15, 4);MoveEast;(9, 3);False;1;158
;(15, 4);MoveEast;(9, 3);False;1;159
;(15, 4);MoveEast;(9, 3);False;1;160
;(15, 4);MoveEast;(9, 3);False;1;161
DropObject;(15, 4);MoveEast;(9, 3);False;1;162
;(15, 4);MoveEast;(9, 3);False;1;163
;(15, 4);MoveEast;(9, 3);False;1;164
;(15, 4);MoveEast;(9, 3);False;1;165
;(15, 4);MoveEast;(9, 3);False;1;166
;(15, 4);MoveEast;(10, 3);False;1;167
;(15, 4);MoveWest;(10, 3);False;1;168
;(15, 4);MoveWest;(10, 3);False;1;169
;(15, 4);MoveWest;(10, 3);False;1;170
;(15, 4);MoveWest;(10, 3);False;1;171
;(15, 4);MoveWest;(10, 3);False;1;172
;(15, 4);MoveWest;(10, 3);False;1;173
;(15, 4);MoveWest;(10, 3);False;1;174
;(15, 4);MoveWest;(10, 3);False;1;175
;(15, 4);MoveWest;(10, 3);False;1;176
;(15, 4);MoveWest;(10, 3);False;1;177
;(15, 4);MoveWest;(9, 3);False;1;178
;(15, 4);MoveWest;(9, 3);False;1;179
;(15, 4);MoveWest;(9, 3);False;1;180
;(15, 4);MoveWest;(9, 3);False;1;181
;(15, 4);MoveWest;(9, 3);False;1;182
;(15, 4);MoveWest;(9, 3);False;1;183
;(15, 4);MoveWest;(9, 3);False;1;184
;(15, 4);MoveWest;(9, 3);False;1;185
;(15, 4);MoveWest;(9, 3);False;1;186
MoveWest;(14, 4);MoveWest;(9, 3);False;1;187
;(14, 4);MoveWest;(9, 3);False;1;188
;(14, 4);MoveWest;(8, 3);False;1;189
;(14, 4);;(8, 3);False;1;190
;(14, 4);Idle;(8, 3);False;1;191
MoveWest;(13, 4);Idle;(8, 3);False;1;192
;(13, 4);Idle;(8, 3);False;1;193
;(13, 4);Idle;(8, 3);False;1;194
;(13, 4);Idle;(8, 3);False;1;195
MoveWest;(12, 4);Idle;(8, 3);False;1;196
;(12, 4);Idle;(8, 3);False;1;197
;(12, 4);Idle;(8, 3);False;1;198
;(12, 4);Idle;(8, 3);False;1;199
MoveWest;(11, 4);Idle;(8, 3);False;1;200
;(11, 4);Idle;(8, 3);False;1;201
;(11, 4);Idle;(8, 3);False;1;202
;(11, 4);Idle;(8, 3);False;1;203
MoveWest;(10, 4);Idle;(8, 3);False;1;204
;(10, 4);Idle;(8, 3);False;1;205
;(10, 4);Idle;(8, 3);False;1;206
;(10, 4);Idle;(8, 3);False;1;207
;(10, 4);Idle;(8, 3);False;1;208
;(10, 4);Idle;(8, 3);False;1;209
;(10, 4);Idle;(8, 3);False;1;210
;(10, 4);Idle;(8, 3);False;1;211
;(10, 4);Idle;(8, 3);False;1;212
;(10, 4);Idle;(8, 3);False;1;213
;(10, 4);Idle;(8, 3);False;1;214
;(10, 4);Idle;(8, 3);False;1;215
;(10, 4);Idle;(8, 3);False;1;216
;(10, 4);Idle;(8, 3);False;1;217
MoveWest;(9, 4);Idle;(8, 3);False;1;218
;(9, 4);Idle;(8, 3);False;1;219
;(9, 4);Idle;(8, 3);False;1;220
;(9, 4);Idle;(8, 3);False;1;221
;(9, 4);Idle;(8, 3);False;1;222
;(9, 4);Idle;(8, 3);False;1;223
;(9, 4);Idle;(8, 3);False;1;224
;(9, 4);Idle;(8, 3);False;1;225
;(9, 4);Idle;(8, 3);False;1;226
;(9, 4);Idle;(8, 3);False;1;227
;(9, 4);Idle;(8, 3);False;1;228
;(9, 4);Idle;(8, 3);False;1;229
;(9, 4);Idle;(8, 3);False;1;230
;(9, 4);Idle;(8, 3);False;1;231
;(9, 4);Idle;(8, 3);False;1;232
