human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveEast;(4, 4);1;1
;(4, 4);1;2
;(4, 4);1;3
;(4, 4);1;4
;(4, 4);1;5
;(4, 4);1;6
MoveEast;(5, 4);1;7
;(5, 4);1;8
;(5, 4);1;9
;(5, 4);1;10
;(5, 4);1;11
;(5, 4);1;12
;(5, 4);1;13
;(5, 4);1;14
;(5, 4);1;15
;(5, 4);1;16
;(5, 4);1;17
;(5, 4);1;18
;(5, 4);1;19
;(5, 4);1;20
;(5, 4);1;21
;(5, 4);1;22
;(5, 4);1;23
;(5, 4);1;24
;(5, 4);1;25
;(5, 4);1;26
;(5, 4);1;27
MoveEast;(6, 4);1;28
;(6, 4);1;29
;(6, 4);1;30
;(6, 4);1;31
;(6, 4);1;32
;(6, 4);1;33
;(6, 4);1;34
;(6, 4);1;35
;(6, 4);1;36
;(6, 4);1;37
;(6, 4);1;38
;(6, 4);1;39
;(6, 4);1;40
;(6, 4);1;41
;(6, 4);1;42
;(6, 4);1;43
;(6, 4);1;44
;(6, 4);1;45
;(6, 4);1;46
;(6, 4);1;47
;(6, 4);1;48
;(6, 4);1;49
MoveEast;(7, 4);1;50
;(7, 4);1;51
;(7, 4);1;52
;(7, 4);1;53
;(7, 4);1;54
;(7, 4);1;55
;(7, 4);1;56
;(7, 4);1;57
;(7, 4);1;58
;(7, 4);1;59
;(7, 4);1;60
MoveEast;(8, 4);1;61
;(8, 4);1;62
;(8, 4);1;63
;(8, 4);1;64
;(8, 4);1;65
MoveSouth;(8, 5);1;66
;(8, 5);1;67
;(8, 5);1;68
;(8, 5);1;69
;(8, 5);1;70
;(8, 5);1;71
;(8, 5);1;72
;(8, 5);1;73
;(8, 5);1;74
;(8, 5);1;75
;(8, 5);1;76
;(8, 5);1;77
;(8, 5);1;78
;(8, 5);1;79
;(8, 5);1;80
;(8, 5);1;81
;(8, 5);1;82
;(8, 5);1;83
;(8, 5);1;84
;(8, 5);1;85
MoveSouth;(8, 6);1;86
;(8, 6);1;87
;(8, 6);1;88
;(8, 6);1;89
;(8, 6);1;90
;(8, 6);1;91
;(8, 6);1;92
;(8, 6);1;93
;(8, 6);1;94
;(8, 6);1;95
;(8, 6);1;96
;(8, 6);1;97
;(8, 6);1;98
;(8, 6);1;99
;(8, 6);1;100
;(8, 6);1;101
MoveWest;(7, 6);1;102
;(7, 6);1;103
;(7, 6);1;104
;(7, 6);1;105
;(7, 6);1;106
;(7, 6);1;107
;(7, 6);1;108
;(7, 6);1;109
;(7, 6);1;110
;(7, 6);1;111
;(7, 6);1;112
;(7, 6);1;113
;(7, 6);1;114
;(7, 6);1;115
;(7, 6);1;116
;(7, 6);1;117
;(7, 6);1;118
;(7, 6);1;119
;(7, 6);1;120
;(7, 6);1;121
;(7, 6);1;122
MoveSouth;(7, 7);1;123
;(7, 7);1;124
;(7, 7);1;125
;(7, 7);1;126
;(7, 7);1;127
;(7, 7);1;128
;(7, 7);1;129
;(7, 7);1;130
;(7, 7);1;131
;(7, 7);1;132
;(7, 7);1;133
;(7, 7);1;134
;(7, 7);1;135
;(7, 7);1;136
;(7, 7);1;137
;(7, 7);1;138
;(7, 7);1;139
;(7, 7);1;140
MoveSouth;(7, 8);1;141
;(7, 8);1;142
;(7, 8);1;143
;(7, 8);1;144
;(7, 8);1;145
;(7, 8);1;146
;(7, 8);1;147
MoveEast;(8, 8);1;148
;(8, 8);1;149
;(8, 8);1;150
;(8, 8);1;151
;(8, 8);1;152
;(8, 8);1;153
;(8, 8);1;154
GrabObject;(8, 8);1;155
;(8, 8);1;156
;(8, 8);1;157
;(8, 8);1;158
;(8, 8);1;159
;(8, 8);1;160
;(8, 8);1;161
MoveWest;(7, 8);1;162
;(7, 8);1;163
;(7, 8);1;164
;(7, 8);1;165
;(7, 8);1;166
;(7, 8);1;167
;(7, 8);1;168
;(7, 8);1;169
;(7, 8);1;170
;(7, 8);1;171
MoveWest;(6, 8);1;172
;(6, 8);1;173
;(6, 8);1;174
;(6, 8);1;175
;(6, 8);1;176
;(6, 8);1;177
;(6, 8);1;178
;(6, 8);1;179
;(6, 8);1;180
;(6, 8);1;181
;(6, 8);1;182
MoveWest;(5, 8);1;183
;(5, 8);1;184
;(5, 8);1;185
;(5, 8);1;186
;(5, 8);1;187
;(5, 8);1;188
;(5, 8);1;189
;(5, 8);1;190
;(5, 8);1;191
;(5, 8);1;192
;(5, 8);1;193
;(5, 8);1;194
MoveSouth;(5, 9);1;195
;(5, 9);1;196
;(5, 9);1;197
;(5, 9);1;198
;(5, 9);1;199
;(5, 9);1;200
;(5, 9);1;201
;(5, 9);1;202
;(5, 9);1;203
;(5, 9);1;204
;(5, 9);1;205
;(5, 9);1;206
;(5, 9);1;207
;(5, 9);1;208
;(5, 9);1;209
;(5, 9);1;210
;(5, 9);1;211
;(5, 9);1;212
;(5, 9);1;213
;(5, 9);1;214
;(5, 9);1;215
;(5, 9);1;216
;(5, 9);1;217
MoveWest;(4, 9);1;218
;(4, 9);1;219
;(4, 9);1;220
;(4, 9);1;221
;(4, 9);1;222
;(4, 9);1;223
;(4, 9);1;224
;(4, 9);1;225
;(4, 9);1;226
;(4, 9);1;227
DropObject;(4, 9);1;228
;(4, 9);1;229
;(4, 9);1;230
;(4, 9);1;231
;(4, 9);1;232
;(4, 9);1;233
;(4, 9);1;234
;(4, 9);1;235
;(4, 9);1;236
;(4, 9);1;237
;(4, 9);1;238
;(4, 9);1;239
MoveEast;(5, 9);1;240
;(5, 9);1;241
;(5, 9);1;242
;(5, 9);1;243
;(5, 9);1;244
MoveEast;(6, 9);1;245
;(6, 9);1;246
;(6, 9);1;247
;(6, 9);1;248
;(6, 9);1;249
MoveEast;(7, 9);1;250
;(7, 9);1;251
;(7, 9);1;252
;(7, 9);1;253
MoveEast;(8, 9);1;254
;(8, 9);1;255
;(8, 9);1;256
;(8, 9);1;257
;(8, 9);1;258
MoveEast;(9, 9);1;259
;(9, 9);1;260
;(9, 9);1;261
;(9, 9);1;262
;(9, 9);1;263
MoveEast;(10, 9);1;264
;(10, 9);1;265
;(10, 9);1;266
;(10, 9);1;267
;(10, 9);1;268
;(10, 9);1;269
;(10, 9);1;270
;(10, 9);1;271
;(10, 9);1;272
;(10, 9);1;273
;(10, 9);1;274
MoveNorth;(10, 8);1;275
;(10, 8);1;276
;(10, 8);1;277
;(10, 8);1;278
;(10, 8);1;279
;(10, 8);1;280
;(10, 8);1;281
;(10, 8);1;282
;(10, 8);1;283
;(10, 8);1;284
;(10, 8);1;285
MoveWest;(9, 8);1;286
;(9, 8);1;287
;(9, 8);1;288
;(9, 8);1;289
;(9, 8);1;290
;(9, 8);1;291
;(9, 8);1;292
;(9, 8);1;293
;(9, 8);1;294
;(9, 8);1;295
;(9, 8);1;296
;(9, 8);1;297
;(9, 8);1;298
GrabObject;(9, 8);1;299
;(9, 8);1;300
;(9, 8);1;301
;(9, 8);1;302
;(9, 8);1;303
;(9, 8);1;304
;(9, 8);1;305
;(9, 8);1;306
;(9, 8);1;307
;(9, 8);1;308
MoveWest;(8, 8);1;309
;(8, 8);1;310
;(8, 8);1;311
;(8, 8);1;312
;(8, 8);1;313
;(8, 8);1;314
MoveWest;(7, 8);1;315
;(7, 8);1;316
;(7, 8);1;317
;(7, 8);1;318
;(7, 8);1;319
MoveWest;(6, 8);1;320
;(6, 8);1;321
;(6, 8);1;322
;(6, 8);1;323
;(6, 8);1;324
;(6, 8);1;325
MoveSouth;(6, 9);1;326
;(6, 9);1;327
;(6, 9);1;328
;(6, 9);1;329
;(6, 9);1;330
MoveSouth;(6, 10);1;331
;(6, 10);1;332
;(6, 10);1;333
;(6, 10);1;334
;(6, 10);1;335
MoveWest;(5, 10);1;336
;(5, 10);1;337
;(5, 10);1;338
;(5, 10);1;339
;(5, 10);1;340
;(5, 10);1;341
;(5, 10);1;342
;(5, 10);1;343
;(5, 10);1;344
;(5, 10);1;345
GrabObject;(5, 10);1;346
;(5, 10);1;347
;(5, 10);1;348
;(5, 10);1;349
;(5, 10);1;350
;(5, 10);1;351
;(5, 10);1;352
;(5, 10);1;353
;(5, 10);1;354
DropObject;(5, 10);1;355
;(5, 10);1;356
;(5, 10);1;357
;(5, 10);1;358
;(5, 10);1;359
;(5, 10);1;360
;(5, 10);1;361
;(5, 10);1;362
;(5, 10);1;363
;(5, 10);1;364
MoveEast;(6, 10);1;365
;(6, 10);1;366
;(6, 10);1;367
;(6, 10);1;368
;(6, 10);1;369
;(6, 10);1;370
;(6, 10);1;371
