human_selector_action;human_selector_location;human_action;human_location;machine_action;machine_location;victim_action;victim_location;gravitygod_action;gravitygod_location;rewardgod_action;rewardgod_location;ontologygod_action;ontologygod_location;world_nr;tick_nr
;(3, 4);;(1, 7);;(15, 7);;(8, 7);;(0, 0);;(0, 11);;(0, 0);1;0
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;1
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;2
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;3
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;4
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;5
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;6
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;7
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;8
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;9
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;10
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;11
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;12
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;13
MoveEast;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;14
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;15
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;16
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;17
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;18
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;19
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;20
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;21
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;22
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;23
MoveEast;(5, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;24
MoveEast;(6, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;25
MoveEast;(7, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;26
;(7, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;27
;(7, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;28
;(7, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;29
;(7, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;30
;(7, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;31
MoveEast;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;32
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;33
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;34
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;35
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;36
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;37
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;38
;(8, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;39
MoveSouth;(8, 5);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;40
;(8, 5);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;41
;(8, 5);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;42
;(8, 5);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;43
MoveSouth;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;44
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;45
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;46
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;47
MoveSouth;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;48
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;49
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;50
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;51
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;52
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;53
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;54
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;55
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;56
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;57
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;58
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;59
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;60
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;61
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;62
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;63
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;64
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;65
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;66
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;67
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;68
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;69
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;70
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;71
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;72
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;73
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;74
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;75
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;76
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;77
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;78
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;79
;(8, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;80
MoveNorth;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;81
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;82
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;83
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;84
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;85
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;86
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;87
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;88
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;89
GrabObject;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;90
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;91
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;92
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;93
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;94
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;95
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;96
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;97
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;98
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;99
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;100
;(8, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;101
MoveWest;(7, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;102
;(7, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;103
;(7, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;104
;(7, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;105
MoveWest;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;106
;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;107
;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;108
;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;109
;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;110
;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;111
;(6, 6);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;112
MoveSouth;(6, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;113
;(6, 7);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 11);;(0, 0);1;114
